-25	33.8867493901
-24	34.5790265554
-23	35.3101400965
-22	36.0838403663
-21	36.9043924722
-20	37.7766651322
-19	38.7062562996
-18	39.6996218517
-17	40.7642441102
-16	41.9088616429
-15	43.143732768
-14	44.4809725964
-13	45.9349973135
-12	47.5230818293
-11	49.2660859502
-10	51.1894103514
-9	53.3242344378
-8	55.7091525281
-7	58.3923646245
-6	61.4345075615
-5	64.9124206788
-4	68.9238276348
-3	73.5931028803
-2	79.0774180707
-1	85.5716690002
0	93.3085062418
1	102.5466918945
2	113.5399508189
3	126.4838161239
4	141.4551148932
5	158.3772590361
6	177.0374221495
7	197.1463613242
8	218.4044772841
9	240.545678809
10	263.3544431633
